algorithm,memory_kb,params,phi,total_weight,threshold,hh_count,true_hh_count,tp,fp,fn,precision_pct,recall_pct,mean_rel_error_pct,max_rel_error_pct,runtime_s,throughput_rows_s
Concise,256,M=2048;seeds=5,1.0e-04,44367267,4437,4021,158,126,3895,32,3.1,79.7,56.57,327.60,28.73,379280
Concise,512,M=4096;seeds=5,1.0e-04,44367267,4437,267,158,122,145,36,45.7,77.2,32.78,174.38,29.77,366006
Concise,1024,M=8192;seeds=5,1.0e-04,44367267,4437,260,158,140,120,18,53.8,88.6,25.90,151.72,26.26,415000
Concise,2048,M=16384;seeds=5,1.0e-04,44367267,4437,212,158,144,68,14,67.9,91.1,21.84,109.91,30.75,354378
Concise,4096,M=32768;seeds=5,1.0e-04,44367267,4437,172,158,141,31,17,82.0,89.2,13.95,48.57,31.43,346722
Concise,8192,M=65536;seeds=5,1.0e-04,44367267,4437,169,158,149,20,9,88.2,94.3,10.24,43.54,33.36,326682
AMS,128,mode=fast;t=4;s=2458;cmsW=1310;eps2=6.51e-03,1.0e-04,44367267,4437,6583778,158,110,6583668,48,0.0,69.6,1072.22,4139.37,3278.99,2977
AMS,256,mode=fast;t=4;s=4915;cmsW=2621;eps2=3.26e-03,1.0e-04,44367267,4437,6530202,158,117,6530085,41,0.0,74.1,730.04,3167.59,3278.99,2977
AMS,512,mode=fast;t=4;s=8192;cmsW=5242;eps2=1.95e-03,1.0e-04,44367267,4437,3247136,158,118,3247018,40,0.0,74.7,495.30,2601.50,3278.99,2977
AMS,1024,mode=fast;t=4;s=8192;cmsW=10485;eps2=1.95e-03,1.0e-04,44367267,4437,11111,158,118,10993,40,1.1,74.7,495.30,2601.50,3278.99,2977
AMS,2048,mode=fast;t=4;s=8192;cmsW=20971;eps2=1.95e-03,1.0e-04,44367267,4437,8353,158,118,8235,40,1.4,74.7,495.30,2601.50,3278.99,2977
AMS,4096,mode=fast;t=4;s=8192;cmsW=41943;eps2=1.95e-03,1.0e-04,44367267,4437,7924,158,118,7806,40,1.5,74.7,495.30,2601.50,3278.99,2977
AMS,8192,mode=fast;t=4;s=8192;cmsW=83886;eps2=1.95e-03,1.0e-04,44367267,4437,7803,158,118,7685,40,1.5,74.7,495.30,2601.50,3278.99,2977
