algorithm,memory_kb,params,phi,total_weight,threshold,hh_count,true_hh_count,tp,fp,fn,precision_pct,recall_pct,mean_rel_error_pct,max_rel_error_pct,runtime_s,throughput_rows_s
AMS,128,mode=fast;t=4;s=2458;cmsW=1310;eps2=6.51e-03,1.0e-04,44367267,4437,6583778,158,110,6583668,48,0.0,69.6,1072.22,4139.37,22952.93,425
AMS,256,mode=fast;t=4;s=4915;cmsW=2621;eps2=3.26e-03,1.0e-04,44367267,4437,6530202,158,117,6530085,41,0.0,74.1,730.04,3167.59,22952.93,425
AMS,512,mode=fast;t=4;s=8192;cmsW=5242;eps2=1.95e-03,1.0e-04,44367267,4437,3247136,158,118,3247018,40,0.0,74.7,495.30,2601.50,22952.93,425
AMS,1024,mode=fast;t=4;s=8192;cmsW=10485;eps2=1.95e-03,1.0e-04,44367267,4437,11111,158,118,10993,40,1.1,74.7,495.30,2601.50,22952.93,425
AMS,2048,mode=fast;t=4;s=8192;cmsW=20971;eps2=1.95e-03,1.0e-04,44367267,4437,8353,158,118,8235,40,1.4,74.7,495.30,2601.50,22952.93,425
AMS,4096,mode=fast;t=4;s=8192;cmsW=41943;eps2=1.95e-03,1.0e-04,44367267,4437,7924,158,118,7806,40,1.5,74.7,495.30,2601.50,22952.93,425
AMS,8192,mode=fast;t=4;s=8192;cmsW=83886;eps2=1.95e-03,1.0e-04,44367267,4437,7803,158,118,7685,40,1.5,74.7,495.30,2601.50,22952.93,425
