algorithm,min_f1_pct,mean_f1_pct,f1_spread_pct,f1_std_pct,max_rel_error_pct,wiki_f1_pct
AMS,31.0,69.0,62.0,23.7,508.92,21.0
CMS,98.0,99.4,2.0,0.8,6.96,99.0
Concise,81.0,89.2,13.0,4.5,82.23,81.0
FastAMS,98.0,99.6,2.0,0.8,9.53,100.0
LC,100.0,100.0,0.0,0.0,0.00,100.0
MG,93.0,97.8,7.0,2.6,21.81,96.0
Reservoir,81.0,92.2,15.0,5.7,58.11,86.0
SS,92.0,97.6,8.0,3.0,27.15,95.0
